bioguide,handle
C001059,repjimcosta
C001056,johncornyn
C001053,tomcoleok04
C001051,judgecarter
C001047,sencapito
C001035,senatorcollins
C000880,mikecrapo
C000537,repjamesclyburn
C000127,senatorcantwell
C000059,kencalvert
B001277,senblumenthal
B001267,senatorbennet
B001261,senjohnbarrasso
B001260,vernbuchanan
B001257,repgusbilirakis
B001243,marshablackburn
B001236,johnboozman
B000490,sanfordbishop
A000055,robert_aderholt
D000617,repdelbene
B001278,repbonamici
K000383,senangusking
A000369,markamodeinv2
M001188,repgracemeng
T000472,repmarktakano
J000294,repjeffries
J000295,repdavejoyce
W000814,txrandy14
D000618,stevedaines
C001095,sentomcotton
B001287,repbera
F000454,repbillfoster
F000462,reploisfrankel
H001067,reprichhudson
V000131,repveasey
P000605,repscottperry
R000599,repraulruizmd
C001096,senkevincramer
W000812,repannwagner
W000817,senwarren
B001282,repandybarr
C001098,sentedcruz
D000096,repdannydavis
G000546,repsamgraves
B001230,senatorbaldwin
W000816,reprwilliams
D000622,senduckworth
F000463,senatorfischer
H001068,rephuffman
H001052,repandyharrismd
P000608,repscottpeters
C001091,joaquincastrotx
C001075,senbillcassidy
G000558,repguthrie
C001066,usrepkcastor
K000367,senamyklobuchar
P000607,repmarkpocan
V000130,repjuanvargas
S001194,senbrianschatz
B001285,repbrownley
M001184,repthomasmassie
K000385,reprobinkelly
G000555,gillibrandny
R000584,senatorrisch
B001281,repbeatty
S001203,sentinasmith
S001195,repjasonsmith
M001169,senmurphyoffice
B001288,senbooker
C001101,repkclark
N000189,repnewhouse
L000583,reploudermilk
C001103,repbuddycarter
B001295,repbost
A000370,repadams
M001194,repmoolenaar
S001196,repstefanik
R000603,repdavidrouzer
P000609,usrepgarypalmer
E000294,reptomemmer
W000821,repwesterman
H001072,repfrenchhill
B001291,repbrianbabin
D000624,repdebdingell
T000474,normajtorres
S001198,sendansullivan
A000372,reprickallen
R000605,senatorrounds
B001296,congboyle
A000371,reppeteaguilar
G000574,reprubengallego
P000610,staceyplaskett
W000822,repbonnie
L000582,reptedlieu
D000623,repdesaulnier
M001196,repmoulton
B001292,repdonbeyer
G000576,repgrothman
N000188,donaldnorcross
K000388,reptrentkelly
L000585,replahood
B001299,repjimbanks
B001303,senlbr
R000606,repraskin
P000613,repjimmypanetta
D000628,drnealdunnfl2
B001300,repbarragan
B001302,repandybiggsaz
M001199,repbrianmast
D000626,warrendavidson
G000581,repgonzalez
G000583,repjoshg
C001113,sencortezmasto
K000389,reprokhanna
A000375,reparrington
C001112,repcarbajal
S001190,repschneider
B001305,reptedbudd
J000298,repjayapal
F000466,repbrianfitz
K000393,senjohnkennedy
K000391,congressmanraja
H001076,senatorhassan
E000297,repespaillat
K000392,repdavidkustoff
S001200,repdarrensoto
B001301,repjackbergman
C001108,repjamescomer
M001198,senatormarshall
E000296,repdwightevans
R000609,reprutherfordfl
J000299,repmikejohnson
R000608,senjackyrosen
C001110,reploucorrea
B001298,repdonbacon
S001199,repsmucker
H001077,repclayhiggins
E000298,repronestes
G000585,repjimmygomez
N000190,repralphnorman
C001114,repjohncurtis
H001079,senhydesmith
C001115,repcloudtx
S001212,reppetestauber
B001306,repbalderson
C001118,repbencline
H001066,rephorsford
H001082,repkevinhern
L000593,repmikelevin
M001206,repjoemorelle
N000191,repjoeneguse
S001213,repbryansteil
B001309,reptimburchett
C001119,repangiecraig
C001120,repdancrenshaw
C001121,repjasoncrow
D000629,repdavids
E000299,repescobar
F000468,repfletcher
F000469,reprussfulcher
G000587,repsylviagarcia
G000592,repgolden
H001085,rephoulahan
H001090,repjoshharder
J000301,repdustyjohnson
L000590,repsusielee
M001204,repmeuser
P000617,reppressley
S001208,repslotkin
S001211,repgregstanton
S001215,rephaleystevens
S001216,repkimschrier
T000480,reptimmons
T000481,reprashida
T000482,reploritrahan
U000040,repunderwood
H001081,repjahanahayes
D000631,repdean
P000614,repchrispappas
R000612,repjohnrose
S001205,repmgs
O000172,repaoc
J000302,repjohnjoyce
G000591,repmichaelguest
C001117,repcasten
M001205,repcarolmiller
M001208,replucymcbath
R000614,repchiproy
S001214,repgregsteube
G000586,repchuygarcia
B001307,repjimbaird
R000610,greschenthaler
O000173,ilhan
C001055,repedcase
H001089,senhawleypress
M000687,repkweisimfume
M001210,repgregmurphy
K000377,senmarkkelly
O000086,repburgessowens
M001213,repblakemoore
V000134,repbethvanduyne
J000304,repronnyjackson
P000048,reppfluger
F000246,reppatfallon
H001086,repharshbarger
M000194,repnancymace
B000740,repbice
M000317,repmalliotakis
G000597,repgarbarino
F000470,repfischbach
M001136,replisamcclain
A000148,repauchincloss
S000929,repspartz
M001211,repmarymiller
F000446,repfeenstra
H001091,repashleyhinson
W000788,repnikema
S000168,repmariasalazar
F000472,repfranklin
C001039,repkatcammack
B000825,repboebert
J000305,repsarajacobs
K000397,repyoungkim
M001212,repbarrymoore
T000278,sentuberville
T000486,repritchie
M000871,repmann
B000668,repbentz
M001215,repmmm
G000593,repcarlos
L000571,senlummis
L000273,repteresalf
O000019,jayobernolte
S001159,repstricklandwa
R000305,repdeborahross
H000601,senatorhagerty
N000026,reptroynehls
P000145,senalexpadilla
W000790,senatorwarnock
M001214,repmrvan
F000471,repfitzgerald
T000478,reptenney
O000174,senossoff
B001313,repshontelbrown
C001116,rep_clyde
C001126,repmikecarey
C001125,reptroycarter
D000032,repdonaldspress
E000071,repellzey
H000273,senatorhick
I000056,repdarrellissa
L000595,repjulialetlow
S000250,petesessions
S001218,rep_stansbury
T000165,reptiffany
V000133,congressman_jvd
V000129,repdavidvaladao
B001314,repaaronbean
B001315,repnikkib
B001316,repericburlison
B001318,repbeccab
C001129,repmikecollins
C001130,repjasmine
C001131,repcasar
C001132,repelicrane
C001133,repciscomani
D000530,repdeluzio
E000235,repezell
E000246,repedwards
F000476,repmaxwellfrost
F000477,valeriefoushee
F000478,reprussellfry
G000598,reprobertgarcia
G000599,repdangoldman
G000600,repmgp
H001093,rephouchin
H001094,repvalhoyle
H001095,repwesleyhunt
I000058,repglennivey
K000398,congressmankean
K000401,repkiley
L000596,repluna
L000597,replaurellee
L000598,replalota
L000599,repmikelawler
L000603,repluttrell
M001217,repmoskowitz
M001218,repmccormick
M001220,repmcgarvey
M001225,repkevinmullin
M001226,repmenendez
N000193,zachnunn
R000579,reppatryanny
S001223,repemiliasykes
S001225,repericsorensen
T000487,repjilltokuda
T000488,repshrithanedar
V000135,repvanorden
Y000067,reprudyyakym
F000474,usrepmikeflood
F000475,repfinstad
Z000018,repryanzinke
B001319,senkatiebritt
S001227,senericschmitt
S001220,repdalestrong
K000400,repkamlagerdove
P000620,reppettersen
M001216,repmillspress
M001219,jmoylanforguam
R000617,repdeliaramirez
S001221,repscholten
J000307,repjames
A000379,repmarkalford
D000230,repdondavis
V000136,repgabevasquez
L000600,replangworthy
L000601,repgreglandsman
M001222,repmaxmiller
B001317,repbrecheen
S001226,repsalinas
L000602,repsummerlee
M001223,rep_magaziner
O000175,repogles
M001224,repnatemoran
S001224,repkeithself
D000594,repmonicadlc
K000399,repjenkiggans
H001096,rephageman
R000618,senatorricketts
M001227,repmcclellan
A000380,repgabeamo
M001228,repmaloyutah
S001201,reptomsuozzi
K000402,reptimkennedy
F000480,repvincefong
M001229,replamonica
W000829,reptonywied
F000110,repfields
S001188,repstutzman
M001242,berniemoreno
B001323,repnickbegich
F000481,repscfigures
A000381,repyassansari
S001231,replsimon
G000605,repadamgrayca
L000607,repliccardo
W000830,rep_whitesides
R000620,repluzrivas
F000483,repfriedmanca
H001100,repjeffhurd
C001137,repjeffcrank
E000300,repgabeevans
H001099,repharidopolos
J000311,repbrianjack
S001229,repshreve
S001228,repderekschmidt
O000176,repjohnnyo
E000301,repsarahelfreth
M001232,repaprildelaney
B001321,reptombarrett
M001237,repkmr
M001234,kellymorrisonmn
B001324,repwesleybellmo
O000177,repbobonder
K000404,repkimkinghinds
D000634,reptroydowning
M001240,repmcdowell
H001102,repmarkharrisnc
H001101,reppatharrigan
K000405,repknott
M001236,reptimmoorenc
F000482,repfedorchak
G000604,repgoodlander
C001136,repherbconaway
P000621,caohouse
G000602,replauragillen
L000606,repglatimer
M001231,johnmannionny22
T000490,repdavetaylor
D000635,repdexteror
B001326,repbynum
M001230,repmackenzie
B001327,repbresnahan
H001103,reppablojose
B001325,repsheribiggs
G000601,repcraiggoldman
G000603,repbrandongill
J000310,repjuliejohnson
K000403,repmikekennedy
M001239,repjohnmcguire
V000138,repvindman
S001230,repsuhas
B001322,repbaumgartner
M001235,reprileymoore
S001150,senadamschiff
